ID	Name	Intensity Generalised TAB	Intensity Generalised Name	Intensity Detailed TAB	Intensity Detailed Name	Sensitivity TAB	Sensitivity Name (updated to be consistent with intensity names)	Notes
cas_hand_gath	Casual Hand Gather	FMM_Data/Outputs/Intensity_Lvls_Cas_Hand_Gath_General.tab	intensity_lvls_cas_hand_gath_gen	FMM_Data/Outputs/Intensity_Lvls_Cas_Hand_Gath.tab	intensity_lvls_cas_hand_gath_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvl_CasHandGather_Generalised.tab	sensitivity_lvls_cas_hand_gath	
fixed_pots	Potting	FMM_Data/Outputs/Intensity_Lvls_Fixed_Pots_General.tab	intensity_lvls_fixed_pots_gen	FMM_Data/Outputs/Intensity_Lvls_Fixed_Pots.tab	intensity_lvls_fixed_pots_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_Potting_Generalised.tab	sensitivity_lvls_fixed_pots	
foot_access	Foot Access	FMM_Data/Outputs/Intensity_Lvls_Foot_Access_General.tab	intensity_lvls_foot_access_gen	FMM_Data/Outputs/Intensity_Lvls_Foot_Access.tab	intensity_lvls_foot_access_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvl_FootAccess_Generalised.tab	sensitivity_lvls_foot_access	
king_scallops	King Scallops	FMM_Data/Outputs/Intensity_Lvls_King_Scallops_General.tab	intensity_lvls_king_scallops_gen	FMM_Data/Outputs/Intensity_Lvls_King_Scallops.tab	intensity_lvls_king_scallops_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_Scallops_Generalised.tab	sensitivity_lvls_king_scallops	This sensitivity layer is being used twice
lot	Light Otter Trawl	FMM_Data/Outputs/Intensity_Lvls_LOT_Genera.tab	intensity_lvls_lot_gen	FMM_Data/Outputs/Intensity_Lvls_LOT.tab	intensity_lvls_lot_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_LOT_Generalised.tab	sensitivity_lvls_lot	
mussels	Mussels	FMM_Data/Outputs/Intensity_Lvls_Mussels_General.tab	intensity_lvls_mussels_gen	FMM_Data/Outputs/Intensity_Lvls_Mussels.tab	intensity_lvls_mussels_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_Mussels_Generalised.tab	sensitivity_lvls_mussels	
nets	Netting	FMM_Data/Outputs/Intensity_Lvls_Nets_Polygons_generalised.tab	intensity_lvls_nets_gen	FMM_Data/Outputs/Intensity_Lvls_Nets_Polygons.tab	intensity_lvls_nets_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_Nets_Generalised.tab	sensitivity_lvls_nets	
pro_hand_gath	Professional Hand Gather	FMM_Data/Outputs/Intensity_Lvls_Pro_Hand_Gath_General.tab	intensity_lvls_pro_hand_gath_gen	FMM_Data/Outputs/Intensity_Lvls_Pro_Hand_Gath.tab	intensity_lvls_pro_hand_gath_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvl_ProHandGather_Generalised.tab	sensitivity_lvls_pro_hand_gath	
queen_scallops	Queen Scallops	FMM_Data/Outputs/Intensity_Lvls_Queen_Scallops_General.tab	intensity_lvls_queen_scallops_gen	FMM_Data/Outputs/Intensity_Lvls_Queen_Scallops.tab	intensity_lvls_queen_scallops_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_Scallops_Generalised.tab	sensitivity_lvls_queen_scallops	This sensitivity layer is being used twice
rsa_charterboats	RSA Charter Boats	FMM_Data/Outputs/Intensity_Lvls_RSA_CharterBoats_Generalised.tab	intensity_lvls_rsa_charterboats_gen	FMM_Data/Outputs/Intensity_Lvls_RSA_CharterBoats.tab	intensity_lvls_rsa_charterboats_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_RSA_CharterBoat_Gen.tab	sensitivity_lvls_rsa_charterboats	
rsa_commercial	RSA Commercial	FMM_Data/Outputs/Intensity_Lvls_RSA_Comm_Generalised.tab	intensity_lvls_rsa_commercial_gen	FMM_Data/Outputs/Intensity_Lvls_RSA_Commercial.tab	intensity_lvls_rsa_commercial_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_RSA_Generalised.tab	sensitivity_lvls_rsa_commercial	This sensitivity layer is being used twice
rsa_noncharter	RSA Non Charter Boats	FMM_Data/Outputs/Intensity_Lvls_RSA_nonCharter_Generalised.tab	intensity_lvls_rsa_noncharter_gen	FMM_Data/Outputs/Intensity_Lvls_RSA_nonCharter.tab	intensity_lvls_rsa_noncharter_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_RSA_nonCharterBoat_Gen.tab	sensitivity_lvls_rsa_noncharter	
rsa_shore	RSA Shore Fishing	FMM_Data/Outputs/Intensity_Lvls_RSA_shore_Generalised.tab	intensity_lvls_rsa_shore_gen	FMM_Data/Outputs/Intensity_Lvls_RSA_shore.tab	intensity_lvls_rsa_shore_detailed	FMM_Data/Outputs/Sensitivity/SensitivityLvll_RSA_Generalised.tab	sensitivity_lvls_rsa_shore	This sensitivity layer is being used twice
